	L1_col_3	L1_vitro_1	L1_vitro_2	L1_col_1	L1_col_2	L1_vitro_3
cds1664	17	38	77	35	14	96
cds1665	46	8	4	152	60	8
cds1666	0	11	20	6	0	11
cds1667	70	110	106	72	115	202
cds1668	15	70	50	23	7	88
cds1669	38	105	96	83	44	178
cds167	0	7	7	1	0	18
cds1670	38	269	229	56	61	410
cds1671	1	76	66	33	25	149
cds1672	13	46	54	29	10	84
cds1673	0	24	10	8	0	38
cds1674	1089	1907	2126	1630	884	2749
cds1675	57	50	52	126	114	72
cds1676	10	178	170	21	16	197
cds1677	3	27	23	0	1	25
cds1678	32	522	546	85	65	782
cds1679	0	2	1	32	5	2
cds168	0	5	7	12	0	7
cds1680	0	16	8	0	0	23
cds1681	5	97	104	24	9	137
cds1682	4	37	22	15	0	52
cds1683	5	119	109	34	7	184
cds1684	0	48	41	3	20	85
cds1685	0	43	57	0	15	89
cds1686	0	36	44	9	12	51
cds1687	0	92	73	1	0	84
cds1688	15	272	229	41	14	388
cds1689	0	35	51	5	14	53
cds169	0	7	17	0	0	18
cds1690	19	317	203	72	11	286
cds1691	10	67	75	0	0	90
cds1692	6	8	24	3	0	26
cds1693	3	2	12	28	5	10
cds1694	20	34	57	12	0	85
cds1695	0	30	41	9	0	66
cds1696	4	9	7	6	0	11
cds1697	0	9	7	0	11	6
cds1698	0	6	7	0	0	6
cds1699	9	14	16	3	0	21
cds17	0	2	0	0	0	0
cds170	0	2	6	0	0	0
cds1700	8	56	57	0	0	60
cds1701	0	1	0	6	8	3
cds1702	7	225	183	29	26	370
cds1703	0	32	47	6	30	74
cds1704	0	35	48	5	0	86
cds1705	1	56	69	3	9	191
cds1706	1	118	152	13	10	241
cds1707	3	1	7	0	0	7
cds1708	0	17	11	14	3	11
cds1709	0	6	5	0	0	6
cds171	0	4	3	0	16	7
cds1710	0	5	9	0	0	9
cds1711	0	9	5	0	0	5
cds1712	31	24	15	15	6	25
cds1713	3	29	26	0	1	39
cds1714	0	26	26	0	0	38
