	R935_vitro_1	R935_vitro_2	R935_col_1	R935_col_2	R935_vitro_3	R935_col_3
cds159	105	101	197	92	364	435
cds1590	0	0	0	0	0	0
cds1591	1	0	31	0	6	12
cds1592	51	51	125	50	128	221
cds1593	28	43	496	266	117	910
cds1594	23	21	197	136	46	405
cds1595	7	20	0	40	53	43
cds1596	2	5	0	36	13	70
cds1597	48	63	172	166	140	403
cds1598	15	13	63	47	21	143
cds1599	7	3	116	30	19	108
cds16	58	62	243	67	140	358
cds160	210	217	91	30	531	224
cds1600	11	18	148	75	47	196
cds1601	59	90	87	72	184	379
cds1602	14	13	0	42	35	52
cds1603	21	13	0	55	37	88
cds1604	18	38	25	36	106	125
cds1605	19	15	0	0	25	41
cds1606	8	8	0	0	23	0
cds1607	0	0	38	0	0	15
cds1608	2	9	7	68	4	67
cds1609	0	4	0	9	12	36
cds161	331	347	188	69	714	251
cds1610	0	0	0	18	1	88
cds1611	1	2	0	5	4	70
cds1612	2	1	141	232	3	377
cds1613	0	0	9	0	1	56
cds1614	0	0	0	7	0	37
cds1615	0	1	30	37	1	190
cds1616	0	0	0	26	1	39
cds1617	0	0	0	8	4	25
cds1618	92	100	140	48	189	236
cds1619	1	0	0	0	3	1
cds162	89	107	136	28	247	201
cds1620	0	0	0	0	3	23
cds1621	0	0	0	6	0	18
cds1622	2	3	0	10	9	16
cds1623	18	15	21	37	34	183
cds1624	37	38	56	89	91	485
cds1625	3	6	64	37	7	373
cds1626	0	0	0	0	0	16
cds1627	0	0	0	10	0	49
cds1628	0	0	0	0	0	0
cds1629	2	0	0	17	0	29
cds163	917	910	520	146	2539	1240
cds1630	1	0	10	2	0	5
cds1631	2	2	29	0	2	48
cds1632	18	21	74	72	48	528
cds1633	33	28	21	29	56	99
cds1634	49	49	121	24	97	125
cds1635	45	45	157	52	100	182
cds1636	117	124	141	16	270	214
cds1637	10	9	45	29	30	20
cds1638	3	3	99	28	11	107
cds1639	0	1	0	0	0	2
cds164	4386	4617	2358	712	7387	4911
cds1640	341	334	85	41	436	278
cds1641	1	0	0	0	5	4
cds1642	0	0	0	4	7	22
cds1643	36	68	360	101	84	331
cds1644	0	1	0	9	0	21
cds1645	0	0	26	39	5	101
cds1646	2	0	9	27	2	73
cds1647	5	0	0	19	0	44
cds1648	0	0	22	29	3	66
cds1649	8	2	92	53	5	91
cds165	1741	1713	166	28	2367	261
cds1650	3	3	41	6	11	6
cds1651	5	10	0	2	18	75
cds1652	435	409	493	358	642	841
cds1653	1	0	0	1	0	38
cds1654	60	50	19	66	159	165
cds1655	0	0	0	2	1	18
cds1656	17	36	107	52	53	118
cds1657	18	14	33	22	48	128
cds1658	9	13	51	3	34	55
cds1659	40	21	604	477	80	1532
cds166	627	742	0	5	1069	143
cds1660	33	24	19	27	57	114
cds1661	141	107	28	75	188	364
cds1662	2	6	0	22	7	68
cds1663	10	8	0	24	12	24
cds1664	39	29	103	50	113	211
cds1665	0	0	0	6	1	13
cds1666	4	3	60	54	7	99
cds1667	0	5	0	2	3	13
cds1668	35	32	103	127	107	270
cds1669	10	10	21	27	39	97
