	L176_col_1	L176_vitro_1	L176_vitro_2	L176_vitro_3	L176_col_2	L176_col_3
cds1646	130	786	787	398	130	145
cds1647	93	128	114	104	90	96
cds1648	1108	1573	1002	1045	1402	1652
cds1649	87	232	114	36	63	125
cds165	453	566	302	188	341	431
cds1650	26	87	60	20	14	21
cds1651	17	782	1068	592	26	81
cds1652	27	186	83	39	6	43
cds1653	60	923	979	520	69	124
cds1654	38	41	35	16	26	42
cds1655	52	66	40	17	58	61
cds1656	70	88	44	19	61	57
cds1657	1	1	0	1	0	3
cds1658	6	4	10	10	15	9
cds1659	25	28	21	15	11	23
cds166	124	865	544	224	60	164
cds1660	34	31	53	12	46	68
cds1661	72	46	16	9	43	102
cds1662	24	16	5	12	41	51
cds1663	36	49	24	26	85	123
cds1664	58	33	15	19	82	105
cds1665	8	2	0	0	12	34
cds1666	1808	300	196	82	1304	1266
cds1667	37	87	74	28	30	59
cds1668	20	136	57	48	12	24
cds1669	94	216	184	65	111	184
cds167	130	985	532	208	162	174
cds1670	36	256	173	78	51	71
cds1671	91	146	146	91	124	166
cds1672	96	179	200	91	74	106
cds1673	265	215	122	77	226	273
cds1674	5	21	7	3	5	12
cds1675	22	18	17	7	42	40
cds1676	13	115	63	50	19	27
cds1677	20	37	2	7	18	10
cds1678	182	154	67	81	198	177
cds1679	76	137	123	68	176	174
cds168	210	707	517	406	211	335
cds1680	101	68	64	48	54	73
cds1681	136	358	336	208	366	340
cds1682	7	88	58	37	2	9
cds1683	16	95	101	94	5	8
cds1684	568	929	814	240	572	796
cds1685	586	146	191	92	446	528
cds1686	27	6	23	9	18	17
cds1687	64	265	151	82	88	80
cds1688	180	2941	3749	1930	147	262
cds1689	0	0	12	1	0	0
cds169	170	517	438	238	271	327
cds1690	94	178	132	88	103	184
cds1691	55	197	99	57	51	75
cds1692	14	84	55	29	32	14
cds1693	66	81	73	33	73	119
cds1694	3	37	58	15	9	0
cds1695	4	22	4	6	1	3
cds1696	94	64	31	28	36	48
cds1697	11	4	0	2	7	0
cds1698	15	4	1	3	6	3
cds1699	95	36	43	7	80	85
cds17	53	109	52	69	22	13
cds170	160	290	167	93	181	266
cds1700	51	93	28	17	27	58
cds1701	122	4460	3294	1552	116	267
cds1702	6	101	92	77	24	27
cds1703	57	178	125	90	62	107
cds1704	15	8	16	8	4	8
cds1705	7	126	44	15	4	12
cds1706	45	200	98	77	30	43
cds1707	143	705	332	149	89	99
cds1708	22	69	59	18	12	10
cds1709	254	942	1197	570	136	193
cds171	378	460	769	338	140	136
cds1710	77	53	17	25	86	116
cds1711	135	34	45	20	127	116
cds1712	210	117	112	49	139	173
cds1713	1636	3174	2068	1070	1622	1761
cds1714	38	99	57	59	57	51
cds1715	23	37	35	6	16	19
cds1716	6	40	24	18	8	3
